2025-06-09||HAT|MARSHALLS|6.0
2025-08-07||COAT|TARGET|7.0
2024-06-12|07:22:39|HAT|AMAZON|7.0
2025-12-06|11:12:03|COAT|TARGET|8.0
2025-05-11|10:50:25|SCARF|WALMART|7.0
2025-11-06|11:55:07|HELMET|SAMS|6.0
2025-11-05|08:55:32|SHIRT|BRE'S BOUTIQUE |50.0
2024-05-22|06:11:23|hat|amazon|30.0
2020-11-20|06:19:09|COAT|WALMART|60.0
2021-06-04|03:15:22|CUP|AMAZON|60.0
2025-09-09|09:08:55|PAYMENT|YEARUP|100.0
2025-11-11|10:09:09|CAR PAYMENT|NAVY FEDERAL|-400.0
2025-11-12|12:30:03|PAYCHECK|YEARUP|100.0
2025-12-20|10:30:30|CAR PAYMENT|NAVY FEDERAL|-500.0
